insee,ville,lat,lon,date,tmin,tmax,pluie
091960,Ariege,42.9455368,1.4065544,2025-10-01,8.5,18.2,0.0
091960,Ariege,42.9455368,1.4065544,2025-10-02,6.6,19.6,0.0
091960,Ariege,42.9455368,1.4065544,2025-10-03,9.5,19.5,0.0
091960,Ariege,42.9455368,1.4065544,2025-10-04,9.6,19.6,6.7
091960,Ariege,42.9455368,1.4065544,2025-10-05,8.0,12.6,3.7
091960,Ariege,42.9455368,1.4065544,2025-10-06,8.9,14.0,0.0
315550,Toulouse,43.6044638,1.4442433,2025-09-30,10.5,22.6,0.0
315550,Toulouse,43.6044638,1.4442433,2025-10-01,12.1,22.1,0.0
315550,Toulouse,43.6044638,1.4442433,2025-10-02,10.2,22.9,0.0
315550,Toulouse,43.6044638,1.4442433,2025-10-03,10.9,23.7,0.0
315550,Toulouse,43.6044638,1.4442433,2025-10-04,13.9,22.6,3.4
315550,Toulouse,43.6044638,1.4442433,2025-10-05,11.9,17.5,0.9
315550,Toulouse,43.6044638,1.4442433,2025-10-06,11.5,18.2,0.0
821210,Montauban,44.0175835,1.3549991,2025-09-30,8.1,22.6,0.0
821210,Montauban,44.0175835,1.3549991,2025-10-01,9.4,23.0,0.0
821210,Montauban,44.0175835,1.3549991,2025-10-02,8.1,23.4,0.0
821210,Montauban,44.0175835,1.3549991,2025-10-03,9.1,23.6,0.0
821210,Montauban,44.0175835,1.3549991,2025-10-04,13.0,21.9,3.3
821210,Montauban,44.0175835,1.3549991,2025-10-05,11.6,17.5,0.9
821210,Montauban,44.0175835,1.3549991,2025-10-06,10.6,18.6,0.0
6412251,Biarritz,43.4832523,-1.5592776,2025-09-30,13.5,21.1,0.1
6412251,Biarritz,43.4832523,-1.5592776,2025-10-01,12.4,20.6,0.0
6412251,Biarritz,43.4832523,-1.5592776,2025-10-02,10.1,23.1,0.0
6412251,Biarritz,43.4832523,-1.5592776,2025-10-03,13.7,21.6,0.0
6412251,Biarritz,43.4832523,-1.5592776,2025-10-04,15.9,21.1,8.2
6412251,Biarritz,43.4832523,-1.5592776,2025-10-05,14.9,19.0,6.2
6412251,Biarritz,43.4832523,-1.5592776,2025-10-06,13.4,19.5,0.2
641020,Bayonne,43.4945144,-1.4736657,2025-09-30,12.1,21.7,0.1
641020,Bayonne,43.4945144,-1.4736657,2025-10-01,11.2,23.1,0.0
641020,Bayonne,43.4945144,-1.4736657,2025-10-02,9.2,24.4,0.0
641020,Bayonne,43.4945144,-1.4736657,2025-10-03,12.6,22.6,0.0
641020,Bayonne,43.4945144,-1.4736657,2025-10-04,14.5,22.1,8.2
641020,Bayonne,43.4945144,-1.4736657,2025-10-05,14.1,20.1,6.2
641020,Bayonne,43.4945144,-1.4736657,2025-10-06,12.5,21.4,0.2
173000,La Rochelle,46.159732,-1.1515951,2025-09-30,10.2,22.0,0.0
173000,La Rochelle,46.159732,-1.1515951,2025-10-01,10.5,22.0,0.0
173000,La Rochelle,46.159732,-1.1515951,2025-10-02,10.5,22.0,0.0
173000,La Rochelle,46.159732,-1.1515951,2025-10-03,12.6,20.9,0.0
173000,La Rochelle,46.159732,-1.1515951,2025-10-04,14.7,18.5,9.8
173000,La Rochelle,46.159732,-1.1515951,2025-10-05,13.6,17.2,1.4
173000,La Rochelle,46.159732,-1.1515951,2025-10-06,11.4,19.1,0.0
